#{"t_start": 1648462411.9438312, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,10.166516,0.0
-50.0,50,10.300911,0.0
-50.0,50,10.772174,0.0
-50.0,50,14.601543,0.0
-50.0,50,18.086327,0.0
-50.0,50,21.607719,0.0
-50.0,50,25.418354,0.0
-50.0,50,29.10115,0.0
-50.0,50,32.75217,0.0
-50.0,50,36.05816,0.0
-50.0,50,39.617808,0.0
-50.0,50,43.399064,0.0
-50.0,50,47.08298,0.0
-50.0,50,50.76154,0.0
-50.0,50,54.407559,0.0
-50.0,50,58.089034,0.0
-50.0,50,61.094521,0.0
-50.0,50,64.616158,0.0
-50.0,50,67.630778,0.0
-50.0,50,70.439008,0.0
-50.0,50,73.364369,0.0
-50.0,50,77.086656,0.0
-50.0,50,80.745033,0.0
-50.0,50,84.003846,0.0
-50.0,50,87.283097,0.0
-50.0,50,90.809408,0.0
-50.0,50,94.101472,0.0
-50.0,50,96.971097,0.0
-50.0,50,99.666234,0.0
-50.0,50,102.406728,0.0
-50.0,50,105.116469,0.0
-50.0,50,107.299342,0.0
-50.0,50,110.044228,0.0
-50.0,50,112.99585,0.0
-50.0,50,115.9963,0.0
-50.0,50,118.900271,0.0
-50.0,50,121.89801,0.0
-50.0,50,124.92044,0.0
-50.0,50,128.003207,0.0
-50.0,50,131.122552,0.0
-50.0,50,132.998369,0.0
-50.0,50,135.730934,0.0
-50.0,50,139.524443,0.0
-50.0,50,143.188135,0.0
-50.0,50,146.925909,0.0
-50.0,50,149.8872,0.0
-50.0,50,153.566745,0.0
-50.0,50,157.064033,0.0
-50.0,50,160.402132,0.0
-50.0,50,163.351195,0.0
-50.0,50,166.181451,0.0
-50.0,50,168.906158,0.0
-50.0,50,172.533944,0.0
-50.0,50,176.249088,0.0
-50.0,50,179.78244,0.0
-50.0,50,183.426539,0.0
-50.0,50,186.952549,0.0
-50.0,50,190.321697,0.0
-50.0,50,193.808824,0.0
-50.0,50,197.376074,0.0
-50.0,50,200.870429,0.0
-50.0,50,204.215782,0.0
-50.0,50,207.016176,0.0
-50.0,50,210.338299,0.0
-50.0,50,213.730217,0.0
-50.0,50,217.503528,0.0
-50.0,50,221.238552,0.0
0.0,50,225.00946,1.0
-50.0,50,228.686935,0.0
-50.0,50,232.539953,0.0
-50.0,50,236.291928,0.0
-50.0,50,239.803521,0.0
-50.0,50,243.4739,0.0
-50.0,50,247.198476,0.0
-50.0,50,250.887774,0.0
-50.0,50,254.391762,0.0
-50.0,50,257.554109,0.0
-50.0,50,260.859841,0.0
-50.0,50,263.647893,0.0
-50.0,50,266.448707,0.0
-50.0,50,269.64885,0.0
-50.0,50,273.300041,0.0
-50.0,50,277.017382,0.0
-50.0,50,280.8574,0.0
-50.0,50,284.658074,0.0
-50.0,50,288.467685,0.0
-50.0,50,292.15113,0.0
-50.0,50,295.536795,0.0
-50.0,50,299.084025,0.0
-50.0,50,302.35771,0.0
-50.0,50,305.242917,0.0
-50.0,50,308.653739,0.0
-50.0,50,312.06519,0.0
-50.0,50,315.559513,0.0
-50.0,50,318.807754,0.0
-50.0,50,321.542753,0.0
-50.0,50,324.449015,0.0
-50.0,50,327.372221,0.0
-50.0,50,330.349985,0.0
-50.0,50,333.33444,0.0
-50.0,50,336.385816,0.0
-50.0,50,339.391912,0.0
-50.0,50,342.404568,0.0
-50.0,50,344.843595,0.0
-50.0,50,347.690214,0.0
-50.0,50,350.530858,0.0
-50.0,50,353.686805,0.0
-50.0,50,356.306001,0.0
-50.0,50,357.805939,0.0
-50.0,50,359.257735,0.0
-50.0,50,362.242442,0.0
-50.0,50,365.653889,0.0
-50.0,50,369.242908,0.0
-50.0,50,372.918497,0.0
-50.0,50,376.486877,0.0
-50.0,50,380.043578,0.0
-50.0,50,383.833365,0.0
-50.0,50,387.699624,0.0
-50.0,50,391.425074,0.0
-50.0,50,395.087423,0.0
-50.0,50,398.796514,0.0
-50.0,50,401.633353,0.0
-50.0,50,405.093246,0.0
-50.0,50,408.492677,0.0
-50.0,50,411.930618,0.0
-50.0,50,415.457029,0.0
-50.0,50,419.040379,0.0
-50.0,50,422.565071,0.0
-50.0,50,426.026787,0.0
-50.0,50,429.257719,0.0
-50.0,50,432.996624,0.0
-50.0,50,436.645881,0.0
-50.0,50,440.332623,0.0
-50.0,50,443.9878,0.0
-50.0,50,447.231042,0.0
-50.0,50,450.286941,0.0
-50.0,50,453.483007,0.0
0.0,50,456.272761,1.0
-50.0,50,459.266639,0.0
-50.0,50,462.272328,0.0
-50.0,50,465.959153,0.0
-50.0,50,469.61249,0.0
-50.0,50,473.330095,0.0
-50.0,50,476.851973,0.0
-50.0,50,480.546524,0.0
-50.0,50,484.165234,0.0
-50.0,50,487.830521,0.0
-50.0,50,491.632484,0.0
-50.0,50,495.255063,0.0
-50.0,50,498.638532,0.0
-50.0,50,502.007917,0.0
-50.0,50,505.655505,0.0
-50.0,50,509.136298,0.0
-50.0,50,512.571846,0.0
-50.0,50,515.845507,0.0
-50.0,50,519.307951,0.0
-50.0,50,522.822876,0.0
-50.0,50,526.325781,0.0
-50.0,50,529.751255,0.0
-50.0,50,533.260293,0.0
0.0,50,536.579803,1.0
-50.0,50,539.977566,0.0
-50.0,50,543.001927,0.0
-50.0,50,546.157559,0.0
-50.0,50,549.015961,0.0
-50.0,50,551.957186,0.0
-50.0,50,554.35197,0.0
-50.0,50,556.689374,0.0
-50.0,50,559.049706,0.0
-50.0,50,561.605913,0.0
-50.0,50,564.639689,0.0
-50.0,50,567.589359,0.0
-50.0,50,570.565971,0.0
-50.0,50,573.609866,0.0
-50.0,50,576.604478,0.0
-50.0,50,579.609233,0.0
-50.0,50,582.366928,0.0
-50.0,50,584.133482,0.0
-50.0,50,587.147485,0.0
-50.0,50,590.932859,0.0
-50.0,50,594.411632,0.0
-50.0,50,597.379273,0.0
-50.0,50,601.105643,0.0
-50.0,50,604.86791,0.0
0.0,50,608.584466,1.0
-50.0,50,612.388119,0.0
-50.0,50,615.993788,0.0
-50.0,50,619.467444,0.0
-50.0,50,622.776277,0.0
-50.0,50,626.264385,0.0
-50.0,50,629.868965,0.0
0.0,50,633.403242,1.0
-50.0,50,636.887249,0.0
-50.0,50,640.5353,0.0
-50.0,50,643.587045,0.0
-50.0,50,646.819703,0.0
-50.0,50,649.988913,0.0
-50.0,50,652.973195,0.0
-50.0,50,655.837617,0.0
-50.0,50,659.118993,0.0
-50.0,50,662.700025,0.0
-50.0,50,666.36676,0.0
-50.0,50,669.977179,0.0
-50.0,50,673.887713,0.0
-50.0,50,677.696247,0.0
-50.0,50,681.472693,0.0
-50.0,50,685.066381,0.0
-50.0,50,688.895955,0.0
-50.0,50,692.491139,0.0
-50.0,50,695.737664,0.0
-50.0,50,699.487936,0.0
-50.0,50,703.100282,0.0
-50.0,50,706.878966,0.0
-50.0,50,710.451192,0.0
-50.0,50,714.009583,0.0
-50.0,50,717.655873,0.0
-50.0,50,721.168451,0.0
-50.0,50,724.538012,0.0
-50.0,50,727.837265,0.0
-50.0,50,731.027385,0.0
-50.0,50,734.564231,0.0
-50.0,50,737.273507,0.0
-50.0,50,740.744593,0.0
-50.0,50,744.006883,0.0
-50.0,50,747.153132,0.0
-50.0,50,750.095072,0.0
-50.0,50,753.09981,0.0
-50.0,50,756.260199,0.0
-50.0,50,759.915979,0.0
-50.0,50,763.550844,0.0
-50.0,50,767.345729,0.0
-50.0,50,770.694239,0.0
-50.0,50,773.687422,0.0
-50.0,50,776.635839,0.0
-50.0,50,779.639989,0.0
0.0,50,782.631389,1.0
-50.0,50,785.493347,0.0
-50.0,50,788.473628,0.0
-50.0,50,791.147197,0.0
-50.0,50,793.774401,0.0
-50.0,50,796.90869,0.0
-50.0,50,799.910241,0.0
-50.0,50,802.77431,0.0
-50.0,50,805.697062,0.0
-50.0,50,808.699246,0.0
-50.0,50,810.561332,0.0
-50.0,50,813.452379,0.0
-50.0,50,817.037054,0.0
-50.0,50,820.827374,0.0
-50.0,50,824.502008,0.0
-50.0,50,827.852168,0.0
-50.0,50,831.31774,0.0
-50.0,50,834.780207,0.0
-50.0,50,837.939745,0.0
-50.0,50,841.031831,0.0
-50.0,50,844.052161,0.0
-50.0,50,846.842332,0.0
-50.0,50,849.629095,0.0
-50.0,50,852.662226,0.0
-50.0,50,855.992996,0.0
-50.0,50,859.247238,0.0
-50.0,50,862.574919,0.0
-50.0,50,865.995579,0.0
-50.0,50,869.488796,0.0
0.0,50,872.963321,1.0
-50.0,50,876.612676,0.0
-50.0,50,880.018119,0.0
-50.0,50,883.519513,0.0
-50.0,50,886.791381,0.0
-50.0,50,889.852795,0.0
-50.0,50,893.373729,0.0
-50.0,50,896.778607,0.0
-50.0,50,900.14672,0.0
-50.0,50,903.531298,0.0
-50.0,50,907.023979,0.0
-50.0,50,910.449556,0.0
