#{"t_start": 1645445962.1505382, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,4.528897,0.0
-50.0,50,4.663932,0.0
-50.0,50,7.611739,0.0
-50.0,50,9.478105,0.0
-50.0,50,11.29107,0.0
-50.0,50,13.070847,0.0
-50.0,50,14.885289,0.0
-50.0,50,16.806396,0.0
-50.0,50,18.600166,0.0
-50.0,50,20.037288,0.0
-50.0,50,21.456665,0.0
-50.0,50,22.878868,0.0
-50.0,50,24.307767,0.0
-50.0,50,25.73083,0.0
-50.0,50,27.572934,0.0
-50.0,50,29.456852,0.0
-50.0,50,31.280944,0.0
-50.0,50,33.14806,0.0
-50.0,50,34.944135,0.0
-50.0,50,36.848916,0.0
-50.0,50,38.651501,0.0
-50.0,50,40.480811,0.0
-50.0,50,42.145419,0.0
-50.0,50,43.753417,0.0
-50.0,50,45.376361,0.0
-50.0,50,46.984467,0.0
-50.0,50,48.446576,0.0
-50.0,50,49.882678,0.0
-50.0,50,51.182125,0.0
-50.0,50,52.560182,0.0
-50.0,50,53.91912,0.0
-50.0,50,55.30367,0.0
-50.0,50,57.245408,0.0
-50.0,50,58.637432,0.0
-50.0,50,60.07789,0.0
-50.0,50,61.432656,0.0
-50.0,50,62.824366,0.0
-50.0,50,64.262637,0.0
-50.0,50,65.655698,0.0
-50.0,50,67.106802,0.0
-50.0,50,69.073674,0.0
-50.0,50,70.565971,0.0
-50.0,50,72.387493,0.0
-50.0,50,74.186935,0.0
-50.0,50,76.008775,0.0
-50.0,50,77.757391,0.0
-50.0,50,79.528688,0.0
-50.0,50,81.566846,0.0
-50.0,50,83.36955,0.0
-50.0,50,85.144404,0.0
-50.0,50,86.971613,0.0
-50.0,50,88.858085,0.0
-50.0,50,90.707288,0.0
-50.0,50,92.661218,0.0
-50.0,50,94.540784,0.0
-50.0,50,96.310905,0.0
-50.0,50,98.076616,0.0
-50.0,50,99.936188,0.0
-50.0,50,101.959926,0.0
-50.0,50,103.826765,0.0
-50.0,50,105.530363,0.0
-50.0,50,107.307958,0.0
-50.0,50,109.145159,0.0
-50.0,50,110.623846,0.0
-50.0,50,112.062416,0.0
-50.0,50,113.506392,0.0
-50.0,50,114.838648,0.0
-33.0,50,116.473214,0.0
-50.0,50,118.396899,0.0
-50.0,50,120.259424,0.0
-50.0,50,122.108505,0.0
-50.0,50,123.946277,0.0
-50.0,50,125.73211,0.0
-50.0,50,127.623335,0.0
-50.0,50,129.499343,0.0
-50.0,50,131.313005,0.0
-50.0,50,133.274849,0.0
-50.0,50,135.087182,0.0
-50.0,50,136.973697,0.0
-50.0,50,138.710769,0.0
-50.0,50,140.457149,0.0
-50.0,50,142.186038,0.0
-50.0,50,143.962985,0.0
-50.0,50,145.83951,0.0
-50.0,50,147.671002,0.0
-50.0,50,149.372387,0.0
-50.0,50,151.23789,0.0
-50.0,50,153.179317,0.0
-50.0,50,155.006662,0.0
-50.0,50,156.716377,0.0
-50.0,50,158.424264,0.0
-50.0,50,160.417596,0.0
