#{"t_start": 1645463272.3286417, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-101.428191,50,5.823743,0.0
-112.679668,50,5.970767,0.0
-61.121184,50,8.521126,0.0
-134.534222,50,10.373054,0.0
-88.45123,50,12.425041,0.0
-112.377264,50,14.563021,0.0
-111.496746,50,16.651,0.0
-57.082569,50,18.639428,0.0
-75.136671,50,20.63868,0.0
-81.209389,50,22.657685,0.0
-96.858902,50,24.528755,0.0
-93.143775,50,26.469099,0.0
-63.967433,50,28.566973,0.0
-65.375215,50,30.553141,0.0
-66.11041,50,32.549195,0.0
-85.754567,50,34.123714,0.0
-115.284557,50,35.558491,0.0
-73.085541,50,37.122023,0.0
-67.010629,50,38.582875,0.0
-73.172241,50,39.992828,0.0
-80.096696,50,41.94992,0.0
-76.902724,50,43.936197,0.0
-113.202241,50,45.807749,0.0
-68.874103,50,47.688616,0.0
-117.48474,50,49.562503,0.0
-70.682635,50,51.659253,0.0
-77.186705,50,53.618551,0.0
-62.092704,50,55.469634,0.0
-79.01537,50,57.266871,0.0
-74.164048,50,59.023895,0.0
-68.182018,50,60.646669,0.0
-68.568778,50,62.120015,0.0
-68.061498,50,63.733192,0.0
-72.700611,50,65.372669,0.0
-75.720114,50,66.887866,0.0
-65.413823,50,68.316885,0.0
-63.656787,50,70.457861,0.0
-72.654046,50,71.951541,0.0
-72.498868,50,73.452951,0.0
-78.558968,50,74.87038,0.0
-72.779682,50,76.297071,0.0
-66.364333,50,77.88834,0.0
-70.076589,50,79.307938,0.0
-69.009763,50,80.781251,0.0
-100.538144,50,82.928595,0.0
-57.357995,50,84.397588,0.0
-70.090669,50,86.386913,0.0
-63.562026,50,88.549105,0.0
-66.639523,50,90.591179,0.0
-66.519685,50,92.661034,0.0
-70.788284,50,94.802332,0.0
-77.894269,50,96.839372,0.0
-68.387975,50,98.989399,0.0
-65.298838,50,101.086489,0.0
-61.91726,50,103.20575,0.0
-88.281237,50,105.319512,0.0
-65.934471,50,107.345875,0.0
-66.409159,50,109.431224,0.0
-87.032558,50,111.513836,0.0
-114.496507,50,113.662713,0.0
-91.741002,50,115.682587,0.0
-72.016759,50,117.734726,0.0
-65.990663,50,119.877149,0.0
-72.794935,50,122.046911,0.0
-68.244175,50,124.220376,0.0
-61.169341,50,126.311729,0.0
-62.205633,50,128.408423,0.0
-79.829238,50,130.520948,1.0
-77.216576,50,132.566007,0.0
-64.564481,50,134.436162,0.0
-66.532908,50,135.988663,0.0
-66.273546,50,137.652101,0.0
-69.040511,50,139.307618,0.0
-75.421086,50,140.834114,0.0
-65.592155,50,142.70279,0.0
-78.696998,50,144.871848,0.0
-78.548181,50,147.044737,0.0
-68.800873,50,149.193511,0.0
-65.577939,50,151.353817,0.0
-60.06173,50,153.523457,0.0
-64.185096,50,155.603955,0.0
-61.217852,50,157.789659,0.0
-68.272132,50,159.920362,0.0
-57.870305,50,162.080202,0.0
-130.97042,50,164.303985,0.0
-62.696887,50,166.559603,0.0
-88.316886,50,168.790574,0.0
-139.843446,50,170.974369,0.0
-68.22409,50,173.06531,0.0
-100.384281,50,175.251204,0.0
-77.01307,50,177.153011,0.0
-62.127031,50,179.029157,0.0
-66.491738,50,180.922598,0.0
-73.983151,50,182.595724,0.0
-67.779038,50,184.24607,0.0
-71.404745,50,185.891797,0.0
-75.3027,50,187.525601,0.0
-64.042155,50,189.135424,0.0
-67.329283,50,190.736778,0.0
-85.478403,50,192.875875,0.0
-73.825728,50,197.580934,0.0
-58.579713,50,199.254818,0.0
-62.317552,50,200.956647,0.0
-61.907227,50,203.191739,0.0
-70.253315,50,204.860424,0.0
-67.542064,50,206.783355,0.0
-59.409078,50,208.824596,0.0
-68.070152,50,210.985702,0.0
-71.923141,50,213.057462,0.0
-63.493194,50,215.167457,0.0
-63.201829,50,217.278106,0.0
-79.237192,50,219.257634,0.0
-62.649725,50,221.361188,0.0
-75.094496,50,223.41232,0.0
-58.872689,50,225.539435,0.0
-76.270139,50,227.712074,0.0
-88.321632,50,229.826785,0.0
-77.066745,50,231.559979,0.0
-65.149291,50,233.177151,0.0
-67.246044,50,234.866976,0.0
-63.85705,50,236.799902,0.0
-65.920457,50,239.024683,0.0
-65.066681,50,241.118481,0.0
-72.880167,50,243.232908,0.0
-94.870288,50,245.385443,0.0
-60.983784,50,247.551677,0.0
-69.756305,50,249.75534,0.0
-63.267706,50,251.941175,0.0
-74.480278,50,254.090859,0.0
-62.101058,50,256.236614,0.0
-67.64564,50,258.323859,0.0
-65.646431,50,260.536512,0.0
-61.5296,50,262.730417,0.0
-60.26066,50,264.98322,0.0
-72.734934,50,267.195247,0.0
-64.549134,50,269.37951,0.0
-66.49551,50,271.563781,0.0
-16.398921,50,273.789577,1.0
-65.022865,50,275.974881,0.0
-60.136926,50,278.117053,0.0
-64.427156,50,280.288242,0.0
-62.604901,50,282.450162,0.0
-68.11011,50,284.606832,0.0
-60.195119,50,286.814869,0.0
-61.124132,50,288.777467,0.0
-62.143183,50,290.424904,0.0
-91.208277,50,292.026561,0.0
-62.204123,50,293.655753,0.0
-62.779971,50,295.473411,0.0
-149.646601,50,297.642441,0.0
-65.793491,50,299.789552,0.0
-69.109049,50,301.971653,0.0
-63.832075,50,303.917744,0.0
-60.851022,50,305.816726,0.0
-75.236348,50,307.725358,0.0
-67.476319,50,309.386396,0.0
-61.717173,50,311.02708,0.0
-62.088417,50,312.692214,0.0
-63.511366,50,314.244274,0.0
-64.693088,50,315.657624,0.0
-28.190239,50,317.686433,1.0
-69.299339,50,319.099586,0.0
-74.053233,50,320.538467,0.0
-146.643416,50,321.999634,0.0
-76.690982,50,323.440342,0.0
-76.423093,50,324.81885,0.0
-62.020144,50,326.456056,0.0
-56.756334,50,328.766981,0.0
-74.523778,50,330.388725,0.0
-58.66401,50,332.353917,0.0
-90.316449,50,334.491499,0.0
-118.669664,50,336.671297,0.0
-66.403844,50,338.830343,0.0
-138.357406,50,341.108711,0.0
-63.411051,50,343.277085,0.0
-64.408911,50,345.32532,0.0
-62.101482,50,347.369913,0.0
-65.38568,50,349.466133,0.0
-58.668897,50,351.714573,0.0
-134.292085,50,353.792313,0.0
-93.933749,50,355.981297,0.0
-112.432928,50,358.133055,0.0
-60.261229,50,360.340195,0.0
-72.491786,50,362.506198,0.0
-36.490179,50,364.709699,1.0
-71.461677,50,366.846032,0.0
-63.381025,50,368.74806,0.0
-69.397037,50,370.818994,0.0
-64.717746,50,372.852377,0.0
-62.652304,50,374.956231,0.0
-64.237056,50,376.825024,0.0
-37.994737,50,378.593112,1.0
-60.603869,50,380.17303,0.0
-76.472434,50,381.698426,0.0
-62.216552,50,383.493121,0.0
-57.452188,50,385.397732,0.0
-64.231892,50,387.358243,0.0
-68.939034,50,389.371855,0.0
-58.182817,50,391.484433,0.0
-62.229168,50,393.646887,0.0
-59.350927,50,399.599178,0.0
