#{"t_start": 1649156004.1058218, "env_id": "PandaPickAndPlaceCluttered-v1"}
r,l,t,is_success
-115.33787,50,7.487159,0.0
-107.673003,50,7.701331,0.0
-116.188353,50,10.753801,0.0
-108.514259,50,13.807007,0.0
-115.520397,50,16.785898,0.0
-110.967201,50,19.822257,0.0
-113.925222,50,22.897122,0.0
-111.828992,50,25.863908,0.0
-103.294329,50,28.876661,0.0
-102.869513,50,31.931168,0.0
-110.927033,50,34.928267,0.0
-112.307856,50,37.976858,0.0
-108.683121,50,41.006311,0.0
-118.160368,50,44.027808,0.0
-115.7175,50,46.885045,0.0
-111.513941,50,49.987608,0.0
-115.540852,50,53.014417,0.0
-113.522061,50,56.035579,0.0
-109.157829,50,59.041901,0.0
-105.550476,50,62.08059,0.0
-111.069737,50,65.113674,0.0
-112.903398,50,68.125977,0.0
-107.426032,50,71.257677,0.0
-114.779897,50,74.263291,0.0
-112.009573,50,77.299307,0.0
-106.403027,50,80.243568,0.0
-109.727401,50,83.355767,0.0
-112.061221,50,86.299619,0.0
-110.455524,50,89.299435,0.0
-111.815556,50,92.332757,0.0
-112.189778,50,95.483999,0.0
-112.565099,50,98.550209,0.0
-102.699701,50,101.75795,0.0
-109.869189,50,104.765051,0.0
-103.085172,50,107.821566,0.0
-105.869012,50,110.896727,0.0
-115.368925,50,113.960627,0.0
-108.331809,50,116.942683,0.0
-112.740198,50,120.005362,0.0
-109.553612,50,123.040992,0.0
-116.197485,50,126.104461,0.0
-114.992302,50,129.105864,0.0
-112.584884,50,132.181543,0.0
-116.776398,50,135.279363,0.0
-110.634733,50,138.331822,0.0
-115.016604,50,141.46103,0.0
-106.260276,50,144.551925,0.0
-106.648616,50,147.567137,0.0
-112.99351,50,150.623727,0.0
-109.642929,50,153.655112,0.0
-115.918972,50,156.760983,0.0
-113.098553,50,159.816195,0.0
-112.878494,50,162.835287,0.0
-116.887217,50,165.860665,0.0
-111.801328,50,168.901515,0.0
-107.034163,50,171.895257,0.0
-105.94949,50,175.009405,0.0
-110.851846,50,178.10588,0.0
-140.505445,50,181.2068,0.0
-114.571639,50,184.392254,0.0
-114.306694,50,187.448654,0.0
-103.450295,50,190.412647,0.0
-109.594756,50,193.443589,0.0
-109.597664,50,196.572301,0.0
-109.089525,50,199.94237,0.0
-115.181758,50,203.004595,0.0
-109.391643,50,206.039974,0.0
-111.803338,50,209.147767,0.0
-111.591938,50,212.225302,0.0
-111.506035,50,215.276561,0.0
-110.007738,50,218.273953,0.0
-108.97431,50,221.390216,0.0
-110.242314,50,224.50233,0.0
-113.691848,50,227.53591,0.0
-107.004182,50,230.577676,0.0
-107.964111,50,233.592997,0.0
-107.044258,50,236.674187,0.0
-112.552874,50,239.778668,0.0
-107.783157,50,242.841691,0.0
-117.705119,50,245.83725,0.0
-103.669777,50,248.811907,0.0
-109.209298,50,251.899454,0.0
-104.833152,50,254.974027,0.0
-113.040626,50,258.085648,0.0
-105.848698,50,261.189183,0.0
-111.224942,50,264.249122,0.0
-111.954206,50,267.291831,0.0
-114.35648,50,270.392471,0.0
-113.428049,50,273.353208,0.0
-111.940575,50,276.438028,0.0
-110.418648,50,279.482569,0.0
-112.145643,50,282.505978,0.0
-112.175813,50,285.46355,0.0
-106.348637,50,288.462057,0.0
-104.944224,50,291.46934,0.0
-110.431968,50,294.510572,0.0
-104.481563,50,297.615462,0.0
-110.684527,50,300.549563,0.0
-113.070375,50,303.56439,0.0
-109.898386,50,306.645147,0.0
-114.42436,50,309.673684,0.0
-109.762913,50,312.773669,0.0
-112.483346,50,315.901026,0.0
-108.323658,50,318.891949,0.0
-114.837173,50,321.907057,0.0
-111.984467,50,324.927425,0.0
-111.135323,50,327.922962,0.0
-107.208846,50,330.894615,0.0
-105.960944,50,333.941496,0.0
-110.155219,50,337.004711,0.0
-110.705697,50,340.030406,0.0
-112.333117,50,343.057498,0.0
-108.961321,50,346.182885,0.0
-111.949317,50,349.287725,0.0
-110.617663,50,352.375997,0.0
-110.589347,50,355.406945,0.0
-109.056924,50,358.601844,0.0
-101.478717,50,361.599066,1.0
