#{"t_start": 1650359486.3710496, "env_id": "PandaPickAndPlaceClutteredMoreObj-v1"}
r,l,t,is_success
-75.0,50,10.746709,0.0
-75.0,50,10.987105,0.0
-75.0,50,13.318551,0.0
-75.0,50,15.582385,0.0
-75.0,50,17.774769,0.0
-75.0,50,20.013857,0.0
-75.0,50,22.180524,0.0
-73.5,50,24.402769,0.0
-75.0,50,26.830789,0.0
-75.0,50,29.325353,0.0
-75.0,50,31.768349,0.0
-74.5,50,34.317553,0.0
-75.0,50,36.882133,0.0
-72.5,50,39.424239,0.0
-75.0,50,41.814022,0.0
-75.0,50,44.36692,0.0
-75.0,50,46.849093,0.0
-75.0,50,49.265359,0.0
-75.0,50,51.776242,0.0
-75.0,50,54.218658,0.0
-75.0,50,56.697473,0.0
-75.0,50,59.066966,0.0
-55.0,50,61.659792,0.0
-75.0,50,64.193197,0.0
-71.0,50,66.765422,0.0
-75.0,50,69.224734,0.0
-75.0,50,71.691175,0.0
-74.5,50,74.255705,0.0
-70.0,50,76.818362,0.0
-75.0,50,79.295032,0.0
-75.0,50,81.827723,0.0
-75.0,50,84.381034,0.0
-75.0,50,86.896535,0.0
-71.0,50,89.380952,0.0
-75.0,50,91.890905,0.0
-75.0,50,94.470233,0.0
-75.0,50,97.041266,0.0
-75.0,50,99.539007,0.0
-75.0,50,101.855713,0.0
-75.0,50,104.077803,0.0
-75.0,50,106.234279,0.0
-75.0,50,108.372802,0.0
-75.0,50,110.53741,0.0
-75.0,50,112.747811,0.0
-75.0,50,114.904723,0.0
-75.0,50,117.391721,0.0
-75.0,50,119.928416,0.0
-75.0,50,122.362171,0.0
-75.0,50,124.831987,0.0
-75.0,50,127.127456,0.0
-75.0,50,129.668337,0.0
-74.5,50,132.205096,0.0
-75.0,50,134.545284,0.0
-75.0,50,137.053922,0.0
-75.0,50,139.418818,0.0
-75.0,50,141.78341,0.0
-75.0,50,144.308947,0.0
-75.0,50,146.745786,0.0
-75.0,50,149.183625,0.0
-75.0,50,151.557344,0.0
-75.0,50,154.105177,0.0
-75.0,50,156.514613,0.0
-75.0,50,158.972401,0.0
-75.0,50,161.871789,0.0
-74.5,50,164.232738,0.0
-75.0,50,166.679381,0.0
-75.0,50,169.212751,0.0
-75.0,50,171.664131,0.0
-75.0,50,174.169817,0.0
-75.0,50,176.716026,0.0
-75.0,50,179.288183,0.0
