#{"t_start": 1647902954.6347764, "env_id": "PandaPickAndPlaceDense-v1"}
r,l,t,is_success
-15.337667,50,5.528436,0.0
-4.176208,50,5.665189,0.0
-16.075376,50,8.82841,0.0
-12.881143,50,12.041745,0.0
-11.260771,50,15.205543,0.0
-10.804624,50,18.627453,0.0
-9.491621,50,21.849113,0.0
-9.063255,50,24.899313,0.0
-3.697434,50,28.334289,0.0
-12.520781,50,31.461289,0.0
-7.616809,50,34.502886,0.0
-10.790307,50,36.972004,0.0
-8.038929,50,39.718146,0.0
-11.828992,50,42.379148,0.0
-6.753083,50,45.241393,0.0
-13.03951,50,47.976704,0.0
-5.006896,50,50.848719,0.0
-8.120511,50,53.66958,0.0
-8.638064,50,56.435797,0.0
-11.623619,50,59.563105,0.0
-8.855266,50,62.767273,0.0
-10.695785,50,65.913608,0.0
-9.692598,50,69.126755,0.0
-5.807867,50,72.255296,0.0
-18.690857,50,75.570919,0.0
-7.355535,50,78.778055,0.0
-14.924486,50,82.116592,0.0
-5.356217,50,85.18886,0.0
-11.933463,50,88.330687,0.0
-12.622008,50,91.457846,0.0
-7.436279,50,94.456616,0.0
-6.285108,50,97.71891,0.0
-12.091141,50,100.928882,0.0
-15.768385,50,104.169212,0.0
-7.453323,50,107.362914,0.0
-5.181088,50,110.276127,0.0
-8.191618,50,112.986235,0.0
-9.796716,50,115.674399,0.0
-9.969916,50,118.65747,0.0
-12.903398,50,121.987949,0.0
-12.499942,50,125.416584,0.0
-7.530637,50,128.897487,0.0
-11.289062,50,132.17917,0.0
-14.015804,50,135.368172,0.0
-7.521013,50,138.949915,0.0
-15.731585,50,142.486502,0.0
-12.297904,50,145.689399,0.0
-8.25569,50,148.972434,0.0
-10.785936,50,152.370342,0.0
-7.012721,50,155.776647,0.0
-8.39795,50,158.706962,0.0
-15.556411,50,161.417093,0.0
-8.738103,50,164.150918,0.0
-6.842936,50,166.997028,0.0
-11.453846,50,170.377472,0.0
-4.86078,50,173.56109,0.0
-10.382138,50,176.671949,0.0
-7.693983,50,179.837948,0.0
-7.61933,50,183.213714,0.0
-5.689909,50,186.14398,0.0
-5.646701,50,189.002381,0.0
-15.025183,50,191.793745,0.0
-7.257749,50,194.409226,0.0
-9.079015,50,197.79023,0.0
-9.695625,50,201.270202,0.0
-9.987985,50,204.61492,0.0
-2.88188,50,208.010135,0.0
-2.30622,50,211.53266,1.0
-13.57552,50,214.663305,0.0
-6.338548,50,218.045875,0.0
-6.928476,50,220.6977,0.0
-11.125116,50,223.4798,0.0
-9.174999,50,226.302344,0.0
-8.284216,50,229.619833,0.0
-5.333717,50,232.853972,0.0
-13.307146,50,236.298829,0.0
-9.574463,50,239.68327,0.0
-13.273207,50,242.883656,0.0
-12.78855,50,246.07896,0.0
-11.720865,50,249.416986,0.0
-10.29748,50,252.728174,0.0
-13.932777,50,255.9539,0.0
-15.299135,50,259.255511,0.0
-12.103434,50,262.434019,0.0
-5.925399,50,265.764109,0.0
-12.050314,50,269.213735,0.0
-12.610678,50,272.341921,0.0
-8.254739,50,275.594675,0.0
-9.016868,50,279.01579,0.0
-2.946452,50,281.93159,0.0
-3.013062,50,284.69655,0.0
-13.06521,50,287.483943,0.0
-8.430799,50,290.158951,0.0
-9.722977,50,293.377026,0.0
-16.157451,50,296.692711,0.0
-14.617765,50,299.941731,0.0
-8.889081,50,303.307085,0.0
-7.841851,50,306.613214,0.0
-14.344203,50,309.939903,0.0
-7.294081,50,313.033838,0.0
-2.760018,50,320.698435,0.0
-14.757585,50,323.534644,0.0
-4.960044,50,326.519022,0.0
-5.265123,50,329.156346,0.0
-14.056385,50,331.857643,0.0
-10.856196,50,334.665746,0.0
-12.679164,50,337.479835,0.0
-13.91249,50,340.620564,0.0
-8.698542,50,343.83547,0.0
-11.397314,50,346.984895,0.0
-6.62571,50,350.278091,0.0
-14.389539,50,353.866277,0.0
-11.605521,50,357.276697,0.0
-10.146043,50,360.265965,0.0
-8.273464,50,363.484726,0.0
-9.106689,50,366.715072,0.0
-17.145617,50,370.064154,0.0
-8.879134,50,373.248968,0.0
-6.247861,50,376.607145,0.0
-14.937762,50,379.917356,0.0
-4.904258,50,383.217176,0.0
-13.522667,50,386.519676,0.0
-14.986302,50,389.724187,0.0
-12.04578,50,393.028974,0.0
-11.826306,50,396.368002,0.0
-12.942476,50,399.503614,0.0
-8.572904,50,403.017635,0.0
-4.771691,50,406.226589,0.0
-12.346681,50,409.144012,0.0
-8.185526,50,412.006556,0.0
-15.192009,50,414.784083,0.0
-14.376454,50,418.136251,0.0
-6.577704,50,421.319418,0.0
-4.607786,50,424.492059,0.0
-5.850494,50,427.760813,0.0
-9.307884,50,431.144358,0.0
-11.225741,50,434.491211,0.0
-7.326523,50,437.875622,0.0
-9.635598,50,441.417904,0.0
-11.742426,50,444.17874,0.0
-9.106246,50,447.03683,0.0
-7.082331,50,449.799411,0.0
-8.50292,50,452.912416,0.0
-7.430503,50,456.012795,0.0
-5.60933,50,458.98314,0.0
-8.529624,50,461.853688,0.0
-10.543364,50,464.834801,0.0
-4.595093,50,468.17327,0.0
-17.353644,50,471.413339,0.0
-7.85273,50,474.5802,0.0
-4.694646,50,478.032911,0.0
-9.685033,50,481.358788,0.0
-11.492083,50,484.686079,0.0
-15.571255,50,488.029123,0.0
-6.926139,50,491.239698,0.0
-12.317252,50,494.619889,0.0
-8.081462,50,497.927688,0.0
-10.95657,50,501.158946,0.0
-11.107634,50,504.48865,0.0
-9.595233,50,507.810879,0.0
-2.428497,50,511.183445,1.0
-4.195452,50,514.498273,0.0
-10.517062,50,517.769772,0.0
-2.843937,50,521.055521,0.0
-13.424548,50,524.395741,0.0
-3.21607,50,527.620918,0.0
-13.201818,50,530.682681,0.0
-9.158474,50,533.520634,0.0
-8.517829,50,536.545088,0.0
-8.942449,50,539.490453,0.0
-9.853487,50,542.848273,0.0
-6.632594,50,546.359746,0.0
-9.43142,50,549.935883,0.0
-15.45461,50,553.22305,0.0
-10.626383,50,556.042859,0.0
-2.988228,50,558.955662,0.0
-12.54602,50,561.652407,0.0
-3.544709,50,564.86005,0.0
-10.560225,50,568.087808,0.0
-12.584703,50,571.44975,0.0
-4.896395,50,574.891877,0.0
-4.94393,50,578.02843,0.0
-20.229337,50,581.314581,0.0
-16.92988,50,584.515425,0.0
-0.471308,50,587.830786,1.0
-8.457917,50,590.936114,0.0
-5.45105,50,593.92013,0.0
-2.777501,50,596.881595,0.0
-10.671803,50,599.602066,0.0
-12.698123,50,603.025367,0.0
-4.056841,50,606.252111,0.0
-2.45427,50,609.510273,1.0
-12.07164,50,612.877435,0.0
-4.963681,50,616.1915,0.0
-8.891062,50,619.581328,0.0
-14.769223,50,622.983427,0.0
-11.193555,50,626.288703,0.0
-5.3927,50,629.534182,0.0
-9.097624,50,632.986343,0.0
-6.588377,50,636.389117,0.0
-8.259777,50,644.736816,0.0
-12.998039,50,648.202267,0.0
-11.670442,50,651.750819,0.0
-5.402424,50,654.703431,0.0
-8.019993,50,657.500888,0.0
-14.802109,50,660.278363,0.0
-5.685624,50,663.154719,0.0
-15.693724,50,665.851363,0.0
-10.628968,50,668.73879,0.0
-12.337314,50,671.413582,0.0
-7.753254,50,674.414306,0.0
-15.203815,50,677.858281,0.0
-13.814162,50,681.07248,0.0
-11.163326,50,684.586915,0.0
-3.513417,50,687.9661,0.0
-6.908053,50,691.211565,0.0
-4.743935,50,694.483058,0.0
-13.680753,50,697.882525,0.0
-9.614112,50,701.004986,0.0
-7.106704,50,704.50483,0.0
-2.763201,50,707.987491,0.0
-11.929954,50,711.357031,0.0
-13.38702,50,714.706985,0.0
-9.607108,50,718.048106,0.0
-14.957937,50,721.241055,0.0
-5.936191,50,724.450283,0.0
-9.148065,50,727.417073,0.0
-7.281217,50,730.114136,0.0
-8.560901,50,733.043278,0.0
-2.626723,50,735.855585,0.0
-10.120823,50,739.215204,0.0
-9.310829,50,742.569885,0.0
-16.61057,50,746.114981,0.0
-2.831754,50,749.522149,0.0
-5.310799,50,752.949367,0.0
-2.441302,50,756.3384,1.0
-7.46438,50,759.580261,0.0
-16.402535,50,762.733606,0.0
-14.951355,50,765.89418,0.0
-12.605691,50,769.123794,0.0
-3.299724,50,772.564602,0.0
-10.402137,50,775.588976,0.0
-10.020502,50,778.387377,0.0
-8.040368,50,780.722831,0.0
-5.615366,50,783.123323,0.0
-14.381699,50,785.724754,0.0
-8.20798,50,788.75084,0.0
-11.658421,50,792.088078,0.0
-9.914655,50,795.540993,0.0
-8.177849,50,798.976666,0.0
-13.413365,50,802.282662,0.0
-7.461299,50,805.744286,0.0
-14.660883,50,809.136618,0.0
-6.938752,50,812.554891,0.0
-10.752786,50,816.008047,0.0
-8.93052,50,819.247828,0.0
-10.492775,50,822.587557,0.0
-13.664307,50,825.809987,0.0
-11.33577,50,829.198226,0.0
-9.764374,50,832.543253,0.0
-13.633184,50,836.061408,0.0
-14.019292,50,839.286324,0.0
-3.816527,50,842.325324,0.0
-6.556471,50,845.744397,0.0
-2.145045,50,849.041109,1.0
-15.056874,50,852.448744,0.0
-5.816801,50,855.717136,0.0
-9.434934,50,859.217893,0.0
-2.765586,50,862.560844,0.0
-8.149938,50,865.636597,0.0
-5.945413,50,868.540875,0.0
-10.869123,50,871.549282,0.0
-7.122703,50,874.760116,0.0
-10.072687,50,878.341388,0.0
-10.343327,50,881.827615,0.0
-12.366006,50,885.011711,0.0
-7.393443,50,887.85658,0.0
-19.975722,50,890.6519,0.0
-4.424451,50,893.36824,0.0
-6.707928,50,896.445212,0.0
-4.398393,50,899.717765,0.0
-1.412878,50,903.077754,1.0
-11.419649,50,905.792465,0.0
-15.183017,50,908.62948,0.0
-1.167024,50,911.634574,1.0
-9.53272,50,914.518866,0.0
-10.551108,50,917.879026,0.0
-21.076906,50,921.153782,0.0
-7.224343,50,924.588582,0.0
-11.893816,50,927.967018,0.0
-8.018839,50,931.229038,0.0
-10.881598,50,934.637012,0.0
-4.142903,50,938.041947,0.0
-12.83321,50,941.242213,0.0
-13.094862,50,944.701113,0.0
-12.893528,50,948.171496,0.0
-14.559699,50,951.553623,0.0
-11.392757,50,954.976199,0.0
-14.020259,50,958.372382,0.0
-2.366803,50,961.594352,1.0
-5.513001,50,970.226118,0.0
-4.042482,50,973.592587,0.0
-11.531019,50,976.775134,0.0
-11.619754,50,979.926577,0.0
-3.468306,50,983.274124,0.0
-11.973109,50,986.528647,0.0
-9.443964,50,989.66645,0.0
-9.114704,50,992.956658,0.0
-12.286008,50,996.011877,0.0
-4.628337,50,998.933914,0.0
-4.736519,50,1001.238276,0.0
-5.926028,50,1003.433738,0.0
-11.316792,50,1005.681913,0.0
-4.430487,50,1008.23103,0.0
-6.98289,50,1011.053966,0.0
-14.827089,50,1014.190729,0.0
-15.168276,50,1017.38533,0.0
-13.50976,50,1020.54333,0.0
-12.956421,50,1023.616059,0.0
-4.886989,50,1026.624683,0.0
-16.158588,50,1029.747149,0.0
-10.831561,50,1032.431693,0.0
-5.186128,50,1035.246386,0.0
-18.561595,50,1037.817797,0.0
-16.875271,50,1040.41923,0.0
-10.849819,50,1043.708289,0.0
-18.201498,50,1046.650945,0.0
-15.444529,50,1049.610713,0.0
-13.059366,50,1052.635132,0.0
-8.374448,50,1055.771785,0.0
-15.88552,50,1058.960145,0.0
-12.206945,50,1062.146224,0.0
-10.592989,50,1065.232544,0.0
-7.881406,50,1068.393801,0.0
-12.969839,50,1071.609008,0.0
-12.069948,50,1074.711474,0.0
-7.710991,50,1078.032942,0.0
-10.340856,50,1081.164716,0.0
-6.154408,50,1084.102248,0.0
-4.099008,50,1087.025614,0.0
-5.371304,50,1090.032888,0.0
-10.132435,50,1093.359808,0.0
-9.61402,50,1096.357386,0.0
-12.69663,50,1099.55008,0.0
-1.840959,50,1102.623998,1.0
-4.603303,50,1105.706779,0.0
-3.198337,50,1108.721767,0.0
-9.475494,50,1111.63383,0.0
-12.747391,50,1114.335615,0.0
-11.949425,50,1116.906209,0.0
-10.872041,50,1119.657852,0.0
-4.771159,50,1122.856809,0.0
