#{"t_start": 1651739275.267965, "env_id": "PandaStack-v1"}
r,l,t,is_success
-20.421657,100,6.148485,0.0
-25.884959,100,11.85386,0.0
-18.061733,100,17.479579,0.0
-30.05465,100,23.043211,0.0
-21.167791,100,28.777329,0.0
-43.597536,100,34.465834,0.0
-40.686182,100,40.025788,0.0
-25.744071,100,45.805756,0.0
-40.393828,100,51.720385,0.0
-22.584634,100,57.507872,0.0
-24.742061,100,63.125717,0.0
-30.045239,100,68.704254,0.0
-23.676426,100,74.428237,0.0
-38.3766,100,80.259994,0.0
-32.16217,100,85.931536,0.0
-40.896821,100,91.655699,0.0
-58.986001,100,97.373154,0.0
-22.221801,100,103.212125,0.0
-22.193723,100,109.875117,0.0
-26.66469,100,115.847723,0.0
-33.376182,100,121.323758,0.0
-17.035427,100,127.04616,0.0
-30.206111,100,132.75596,0.0
-38.939305,100,138.597187,0.0
-38.857023,100,144.078736,0.0
-20.16145,100,149.472513,1.0
-22.508972,100,155.096974,0.0
-39.29361,100,160.808646,0.0
-29.859643,100,166.391659,0.0
-24.53931,100,172.085487,0.0
-35.722805,100,177.733357,0.0
-29.959475,100,183.361575,0.0
-45.672712,100,189.026395,0.0
-36.122914,100,194.730874,0.0
-28.547395,100,200.441808,0.0
-33.346493,100,206.205338,0.0
-30.632734,100,211.938464,0.0
-20.679524,100,217.707274,0.0
-48.684281,100,223.413607,0.0
-32.823206,100,229.171569,0.0
-35.432764,100,234.865755,0.0
-25.881742,100,240.617093,0.0
-36.244339,100,246.244165,0.0
-21.049518,100,251.996546,0.0
-43.478847,100,257.482177,0.0
-25.279252,100,263.14583,0.0
-29.972975,100,268.968308,0.0
-23.248228,100,274.633629,0.0
-31.327085,100,280.212739,0.0
-32.469799,100,285.926059,0.0
-21.82296,100,291.594504,0.0
-21.625424,100,296.794094,0.0
-24.187215,100,302.310937,0.0
-36.188674,100,308.131147,0.0
-26.259142,100,313.875763,0.0
-57.334265,100,319.474059,0.0
-32.005298,100,325.250644,0.0
-15.583835,100,330.965027,1.0
-31.369054,100,336.638733,0.0
-30.223151,100,342.292259,0.0
-19.406049,100,348.073052,0.0
-30.190002,100,353.82372,0.0
-36.899906,100,359.405678,0.0
-46.13312,100,365.107774,0.0
-47.572186,100,370.732768,0.0
-24.452656,100,376.445927,0.0
-42.060248,100,382.148595,0.0
-25.541301,100,387.946107,0.0
-28.815703,100,393.642328,0.0
-38.044062,100,399.154584,0.0
-14.332949,100,404.863865,0.0
-28.951364,100,410.611732,0.0
-46.499948,100,416.250312,0.0
-20.634117,100,422.088817,0.0
-22.717239,100,428.139051,0.0
-42.116932,100,433.801721,0.0
-16.712664,100,439.680002,0.0
-70.919479,100,444.898375,0.0
-26.285961,100,450.743677,0.0
-25.772001,100,456.631127,0.0
-15.981367,100,462.44824,1.0
-57.368308,100,468.182958,0.0
-41.936257,100,473.75279,0.0
-16.398941,100,479.637656,0.0
-26.753179,100,485.602315,0.0
-28.495565,100,491.467355,0.0
-22.335311,100,497.344377,0.0
-35.243363,100,503.100924,0.0
-13.372832,100,508.895616,0.0
-101.693764,100,514.692843,0.0
-67.563882,100,520.562954,0.0
-30.419472,100,526.418712,0.0
-46.812559,100,532.093845,0.0
-31.270445,100,537.715512,0.0
-27.156741,100,543.310181,0.0
-40.44705,100,549.15646,0.0
-19.107617,100,554.914267,0.0
-36.898659,100,560.62272,0.0
-19.007259,100,566.520547,0.0
-34.918283,100,572.315191,0.0
-32.207367,100,578.022816,0.0
-38.902451,100,583.82611,0.0
-26.530225,100,589.229753,0.0
-22.023976,100,594.783484,0.0
-31.866252,100,600.492289,0.0
-27.282026,100,606.339486,0.0
-35.950963,100,612.039072,0.0
-30.253684,100,617.878391,0.0
-18.236517,100,623.661034,0.0
-36.677942,100,629.438771,0.0
-38.613964,100,635.284268,0.0
-26.558387,100,641.125465,0.0
-32.980724,100,647.019811,0.0
-16.859157,100,652.748118,0.0
-41.902696,100,658.487619,0.0
-28.027412,100,664.197072,0.0
-20.681423,100,669.953088,0.0
-46.391931,100,675.728571,0.0
-25.088433,100,681.285161,0.0
-30.307162,100,687.044803,0.0
-28.335079,100,692.922002,0.0
-31.681498,100,698.77602,0.0
-27.107195,100,704.535853,0.0
-24.679334,100,710.308958,0.0
-26.903478,100,716.126363,0.0
-18.128186,100,721.817564,0.0
-14.677777,100,727.526135,0.0
-37.728552,100,733.084716,0.0
-25.390323,100,738.333246,0.0
-28.95552,100,744.124327,0.0
-30.327936,100,749.868429,0.0
-36.239805,100,755.589823,0.0
-25.847201,100,761.507821,0.0
-10.949061,100,767.19549,0.0
-15.194084,100,772.986018,0.0
-29.457653,100,778.650437,0.0
-31.605562,100,784.549221,0.0
-22.118091,100,790.347282,0.0
-25.910423,100,796.116001,0.0
-86.646021,100,801.74715,0.0
-37.209699,100,807.452617,0.0
-21.293158,100,813.298215,0.0
-43.76951,100,818.755226,0.0
-32.625516,100,824.622621,0.0
-24.567253,100,830.379741,0.0
-35.474086,100,836.005188,0.0
-22.300398,100,841.784652,0.0
-16.404691,100,847.61961,0.0
-26.510876,100,853.413034,0.0
-35.437049,100,859.346097,0.0
-17.614633,100,865.061789,0.0
-38.132914,100,870.860383,0.0
-37.107772,100,876.610006,0.0
-28.988893,100,882.352099,0.0
-19.781552,100,887.322248,0.0
-22.592755,100,893.09071,0.0
-59.282483,100,898.863701,0.0
-11.287495,100,904.773788,0.0
-44.839063,100,910.54477,0.0
-33.216359,100,916.369583,0.0
-42.444833,100,922.309628,0.0
-32.150738,100,928.325432,0.0
-15.813441,100,933.991016,0.0
-23.181693,100,939.767608,0.0
-15.712352,100,945.54288,0.0
-37.01564,100,951.333163,0.0
-16.185979,100,956.966538,0.0
-28.265899,100,962.735292,0.0
-22.536518,100,968.612333,0.0
-26.710331,100,974.445728,0.0
-30.479006,100,980.289494,0.0
-24.655362,100,986.180344,0.0
-22.939368,100,991.888538,0.0
-27.480641,100,997.711066,0.0
-14.217312,100,1003.493311,0.0
-22.992408,100,1009.346891,0.0
-19.550957,100,1015.293566,0.0
-31.072668,100,1021.075658,0.0
-32.421504,100,1026.887774,0.0
-29.681744,100,1032.111506,0.0
-30.27046,100,1037.806801,0.0
-24.303072,100,1043.602487,0.0
